title,cgross,studio,theaters2,theaters1,opening_gross,release_data
Patti Cake$,800148,FoxS,14,303,67599,8/18/17
Patti Smith: Dream of Life,30918,Palm,1,1,9993,8/6/08
Patton,61749765,Fox,0,0,0,2/4/70
Patty Hearst,1223326,Atl,460,460,601680,9/23/88
Paul,37412945,Uni.,2802,2806,13043310,3/18/11
Paul Blart: Mall Cop,146336178,Sony,3144,3206,31832636,1/16/09
Paul Blart: Mall Cop 2,71038190,Sony,3633,3633,23762435,4/17/15
Paul Coelho's Best Story,8808,MBox,5,5,5295,7/31/15
Paul Goodman Changed My Life,35671,Zeit.,1,2,5754,10/19/11
Paul Taylor: Creative Domain,30168,INDEP,1,7,8150,9/11/15
Paul Williams Still Alive,38691,Abr.,1,2,6116,6/8/12
"Paul, Apostle of Christ",17560475,Affirm,1473,1473,5172585,3/23/18
Paulette,29494,Cohen,1,2,8882,8/14/15
Paulie,26875268,DW,1553,1812,5369800,4/17/98
Pauline & Paulette,139789,SPC,5,12,13527,3/15/02
Pauly Shore is Dead,11000,Reg.,1,1,11000,9/17/04
Pavilion of Women,36992,Focus,9,9,16368,5/4/01
Pawn,4141,Anch.,1,1,2137,4/19/13
Pawn Sacrifice,2436633,BST,33,781,202053,9/16/15
Pawn Shop Chronicles,8088,Anch.,15,15,4915,7/12/13
Pay 2 Play: Democracy's High Stakes,11021,SFI,1,2,2233,9/5/14
Pay It Forward,33519628,WB,2130,2130,9631359,10/20/00
Payback,81526121,Par.,2729,2855,21221526,2/5/99
Payback (2012),17979,Zeit.,1,3,2186,4/25/12
Paycheck,53790451,Par.,2762,2762,13462374,12/25/03
PCU,4330020,Fox,1741,1741,2129483,4/29/94
Peace Officer,26632,SD,0,11,0,9/16/15
"Peace, Love and Misunderstanding",590700,IFC,31,76,105960,6/8/12
"Peace, Propaganda and the Promised Land",4930,Arab,1,1,1735,1/28/05
Peaceful Warrior,1066748,LGF,10,42,80602,6/2/06
Peaceful Warrior (re-issue),2893666,Uni.,615,615,0,3/30/07
The Peacemaker,41263140,DW,2362,2420,12311939,9/26/97
The Peacemaker (2018),4400,Central Squa,1,1,4400,2/9/18
The Peanuts Movie,130178411,Fox,3897,3902,44213073,11/6/15
The Pearl,0,Free,0,0,0,7/15/05
Pearl Button,42166,KL,0,5,0,10/23/15
Pearl Harbor,198542554,BV,3214,3255,59078912,5/25/01
Pearl Jam - Let's Play Two,348833,Abr.,5,201,53177,9/29/17
Pearl Jam Twenty,471334,Abr.,7,60,102448,9/20/11
The Pebble and the Penguin,3983912,MGM,1315,1315,1123041,4/14/95
Pecker,2281761,FL,184,184,541646,9/25/98
Pee-Wee's Big Adventure,40940662,WB,829,894,4545847,8/9/85
Peep World,14351,IFC,3,5,6702,3/25/11
Peepli Live,757951,UTV,64,70,350054,8/13/10
Peggy Guggenheim Art Addict,498428,SD,2,25,22258,11/6/15
Peggy Sue Got Married,41382841,TriS,865,1107,6942408,10/10/86
Pele: Birth of a Legend,57046,IFC,3,19,7226,5/13/16
The Pelican Brief,100768056,WB,1993,2022,16864404,12/17/93
Pelle the Conqueror,2053931,Mira.,10,42,45985,12/21/88
Pelle the Conqueror (2017 re-release),9757,FM,1,4,1676,2/24/17
Penelope,10011996,Sum.,1196,1207,3802144,2/29/08
The Penguin Counters,976,FRun,1,1,976,4/21/17
Penguins (Disneynature),0,BV,0,0,0,4/17/19
Penguins of Madagascar,83350911,Fox,3764,3775,25447444,11/26/14
Penitentiary II,3178542,MGM,198,198,662896,4/2/82
Penitentiary III,1392616,Can.,0,0,0,9/4/87
Pennies From Heaven,9171289,MGM,315,0,520000,12/11/81
Penton: The John Penton Story,112159,Gathr,0,14,0,6/23/14
People I Know,126793,Mira.,5,8,34211,4/23/03
The People I've Slept With,19137,PP,1,2,3716,8/13/10
People Like Us,12434778,BV,2055,2055,4255423,6/29/12
People of a Feather,5677,FRun,1,1,2413,11/8/13
People Places Things,67046,TFA,19,19,31262,8/14/15
People Say I'm Crazy,15679,Palo,1,1,4820,4/30/04
A People Uncounted,930,FRun,1,1,390,5/16/14
The People Under the Stairs,24204154,Uni.,1850,1850,5522250,11/1/91
The People vs. Fritz Bauer,288483,Cohen,6,35,33781,8/19/16
The People vs. George Lucas,0,WHE,1,1,0,5/6/11
The People Vs. Larry Flynt,20300385,Sony,16,1233,523295,12/27/96
Pepe le Moko (re-issue),155895,Rialto,2,2,6148,3/1/02
Peppa Pig: My First Cinema Experience,0,0,0,0,0,TBD
Peppa Pig: The Golden Boots,0,0,0,0,0,TBD
Peppermint,34243394,STX,2980,2980,13423255,9/7/18
Percy Jackson & The Olympians: The Lightning Thief,88768303,Fox,3356,3396,31236067,2/12/10
Percy Jackson: Sea of Monsters,68559554,Fox,3031,3080,14401054,8/7/13
Pere et Fils,634968,Ode.,49,49,178929,9/19/03
Perestroika,26064,Strand,1,1,3532,3/20/09
The Perez Family,2832826,Gold.,928,928,1127645,5/12/95
Perfect,12918858,Col.,1344,1344,4222810,6/7/85
The Perfect Age of Rock 'n' Roll,0,JL,3,3,0,8/5/11
Perfect Blue,112536,Palm,1,1,9600,8/20/99
Perfect Blue (2018 re-release),442764,GK,491,491,19020,9/7/18
A Perfect Candidate,134485,7Art,0,8,0,6/19/96
A Perfect Couple,0,Fox,0,0,0,4/6/79
Perfect Creature,0,Fox,0,0,0,0
A Perfect Day,14044,IFC,2,3,0,1/15/16
The Perfect Family,110313,Vari.,5,25,14300,5/4/12
The Perfect Game,1037071,IW,417,417,511698,4/16/10
A Perfect Getaway,15515460,Uni.,2159,2159,5948555,8/7/09
The Perfect Guy,57027435,SGem,2221,2230,25888154,9/11/15
The Perfect Holiday,5812781,YFG,1307,1307,2283360,12/12/07
The Perfect Host,48764,Magn.,2,10,7505,7/1/11
The Perfect Man,16535005,Uni.,2087,2090,5300980,6/17/05
A Perfect Man,7117,IFC,2,2,388,11/1/13
The Perfect Match,9669521,LGF,925,925,4294232,3/11/16
A Perfect Murder,67638368,WB,2845,2845,16615704,6/5/98
Perfect Opposites,16201,MAC,9,9,11329,2/6/04
Perfect Pie,5000,OFI,3,3,5000,10/18/02
The Perfect Score,10391003,Par.,2208,2208,4873819,1/30/04
Perfect Sense,2959,IFC,1,1,1567,2/3/12
The Perfect Storm,182618434,WB,3407,3407,41325042,6/30/00
Perfect Stranger,23984949,SonR,2661,2661,11206163,4/13/07
The Perfect Weapon,14061361,Par.,1229,1229,3934572,3/15/91
A Perfect World,31130999,WB,1964,1964,8075582,11/24/93
Performance,0,WB,0,0,0,8/3/70
Perfume - The Story of a Murderer,2223293,P/DW,3,280,37079,12/27/06
The Perils of Gwendolyn in the Land of Yik Yak,1337274,Gold.,500,500,1337274,1/25/85
Period of Adjustment,0,MGM,0,0,0,10/31/62
The Perks of Being a Wallflower,17742948,LG/S,4,745,228359,9/21/12
Perlasca,4780,Castle,1,1,2281,4/15/05
Permanent,12847,Magn.,8,8,5722,12/15/17
Permanent Midnight,1171001,Art.,55,90,260562,9/18/98
Permanent Record,1893139,Par.,0,0,0,1988
Perrier's Bounty,828,IFC,1,1,828,5/21/10
Persecuted,1558836,MNE,736,736,851391,7/18/14
Persepolis,4445756,SPC,7,536,88826,12/25/07
The Persian Connection,6634,Gold.,1,1,6634,7/14/17
Person To Person,48499,Magn.,3,13,11852,7/28/17
Personal Best,5672311,WB,142,236,549878,2/5/82
A Personal Journey with Martin Scorsese Through American Movies,39075,BV,1,1,10350,3/6/98
Personal Services,1744164,Vest,5,31,69821,5/15/87
Personal Shopper,1305195,IFC,4,153,79175,3/10/17
Personal Tailor,375892,CL,9,9,112224,12/20/13
Personal Velocity,811299,MGM,2,43,29943,11/22/02
Persons of Interest,1672,FRun,0,1,0,9/3/04
Persuasion,5269757,SPC,1,1,30986,9/29/95
The Pervert's Guide to Ideology,67966,Zeit.,1,4,9165,11/1/13
The Pest,3600616,Sony,1205,1205,1817278,2/7/97
Pet,8004,Gold.,1,9,63,9/30/16
Pet Sematary,57469467,Par.,1585,1585,12046179,4/21/89
Pet Sematary (2019),0,Par.,0,0,0,4/5/19
Pet Sematary II,17092453,Par.,1852,1852,4825100,8/28/92
Pete Seeger: The Power of Song,88312,Wein.,1,3,11945,10/26/07
Pete's Dragon,35488000,BV,0,0,0,12/16/77
Pete's Dragon (2016),76233151,BV,3702,3702,21514095,8/12/16
Pete's Dragon (Re-issue),4100000,BV,0,0,0,3/9/84
Peter and the Farm,18123,Magn.,1,8,3844,11/4/16
Peter and Vandy,10618,Strand,3,3,7323,10/9/09
Peter Brook: The Tightrope,19365,FRun,1,2,6768,1/31/14
Peter Pan,48462608,Uni.,2813,2813,11139495,12/25/03
Peter Pan,40759520,Dis.,0,0,0,2/5/53
Peter Pan (Re-issue) (1982),17200000,BV,465,800,957256,12/17/82
Peter Pan (Re-issue) (1989),29445131,BV,1475,1533,5611785,7/14/89
Peter Rabbit,115253424,Sony,3725,3725,25010928,2/9/18
Peter Rabbit 2,0,Sony,0,0,0,2/7/20
Peter's Friends,4058564,Gold.,45,140,353610,12/25/92
Peterloo,0,Amazon,0,0,0,4/5/19
Petit Con,127426,Gold.,0,0,0,4/19/85
PGS Intuition,35423,Gathr,0,4,0,1/16/18
Phantasm,11988469,AVCO,0,0,0,6/1/79
Phantasm II,7282851,Uni.,1227,1227,3012285,7/8/88
Phantasm: Remastered,0,WGUSA,0,0,0,10/7/16
The Phantom,17323326,Par.,2159,2163,5072346,6/7/96
Phantom (2013),1034589,RCR,1118,1118,508000,3/1/13
Phantom (2015),489984,UTV,93,93,266756,8/28/15
Phantom Boy,34362,GK,1,17,4352,7/15/16
Phantom Detective,67054,CJ,1,15,7804,5/11/16
The Phantom of Liberte (Re-issue),6172,Rialto,1,1,6172,11/8/02
The Phantom of the Opera,51268815,WB,622,1515,4001890,12/22/04
Phantom of the Opera (1989),3953745,21C,1468,1468,2050000,11/3/89
Phantom of the Theatre,43955,WGUSA,26,26,21001,5/6/16
Phantom Thread,21051680,Focus,4,1186,216495,12/25/17
Phantoms,5624282,Mira.,1859,1859,3065951,1/23/98
Phar Lap,2878404,Fox,0,0,0,4/13/84
Phat Beach,1383553,Orion,408,408,658614,8/2/96
Phat Girlz,7061128,FoxS,1060,1060,3109924,4/7/06
Phata Poster Nikla Hero,410526,Eros,94,94,260188,9/20/13
Phenom,0,SGem,0,0,0,TBD
Phenomenon,104636382,BV,1637,2139,16158901,7/5/96
Phil Lord and Chris Miller Produced Sony Pictures Animation Movie,0,Col.,0,0,0,1/10/20
Phil Ochs: There But For Fortune,263723,FRun,1,13,18211,1/5/11
Philadelphia,77446440,TriS,4,1604,143433,12/24/93
The Philadelphia Experiment,8103330,NW,490,490,1877000,8/3/84
The Philadelphia Experiment II,2970,Trim.,0,2,0,11/12/93
The Philadelphia Story,0,MGM,0,0,0,12/1/40
Phillauri,467596,FIP,74,74,260982,3/24/17
Philomena,37709979,Wein.,4,1225,128435,11/22/13
Phineas and Ferb,0,0,0,0,0,TBD
Phir Bhi Dil Hain Hindustani,588606,Eros,47,50,367238,1/21/00
Phir Milenge,91968,UTV,27,27,37460,8/27/04
Phobia,59167,Par.,0,0,0,9/26/80
Phoebe in Wonderland,0,Think,0,0,0,0
Phoenix,45661,Trim.,3,3,31579,9/4/98
Phoenix (2015),3184472,IFC,2,197,30296,7/24/15
Phoenix Forgotten,3600146,CLF,1626,1626,1816499,4/21/17
The Phone,40516,CJ,1,11,3824,11/6/15
Phone Booth,46566212,Fox,2481,2489,15021088,4/4/03
"The Photographer, His Wife, Her Lover",12546,Icar.,1,1,2630,7/26/06
Photographic Memory,7822,FRun,2,2,3006,10/12/12
Phyllis and Harold,0,RBF,0,0,0,4/9/10
Physical Evidence,3560932,Col.,691,695,1777358,1/27/89
Pi,3221152,Art.,1,68,31069,7/10/98
The Pianist,32572577,Focus,6,842,111261,12/25/02
The Piano,40157856,Mira.,4,671,151419,11/12/93
The Piano Teacher,1012069,Kino,3,19,29671,3/29/02
The Piano Tuner of Earthquakes,29121,Zeit.,1,3,944,11/17/06
Pianomania,49852,FRun,1,6,2238,5/27/11
Piccadilly Cowboy,0,Svg.,0,0,0,8/12/06
Pick of the Litter,400579,IFC,2,63,16519,8/31/18
The Pick-Up Artist,13290368,Fox,1129,1132,4455516,9/18/87
Pickin & Grinnin,3613,HLM,1,1,3003,9/7/12
The Pickle,84471,Col.,40,40,45570,4/30/93
Picnic at Hanging Rock,0,Atl,0,0,0,1975
Picnic at Hanging Rock (Re-issue),232201,Kit,5,5,27492,6/26/98
Picture Bride,1238905,Mira.,5,43,44380,4/28/95
Picture Me,12008,Strand,1,1,6718,9/17/10
A Picture of You,19480,FPE,1,1,5650,6/20/14
Picture Perfect,31407873,Fox,1707,1727,7809026,8/1/97
A Piece of Eden,7296,FAc,0,0,0,9/15/00
Pieces,2032311,FVI,104,104,604510,9/23/83
Pieces of April,2528664,UA,6,101,48422,10/17/03
Pierrepoint - The Last Hangman,23192,IFC,3,3,2028,6/1/07
PIERROT LE FOU,52640,Jan.,1,2,7254,6/15/07
Pierrot le fou (2015 re-issue),34371,Rialto,1,1,7922,12/18/15
Pieta,22080,Drft.,12,12,6222,5/17/13
A Pig Across Paris (2013 re-issue),18297,Rialto,1,1,9997,5/24/13
A Pigeon Sat on a Branch Reflecting on Existence,222989,Magn.,2,17,25313,6/3/15
Piglet's Big Movie,23103423,BV,2084,2084,6097758,3/21/03
Pigskin Parade,0,Fox,0,0,0,10/23/36
Piku,1801807,Yash,119,124,941490,5/8/15
The Pillow Book,2372744,Lions,0,0,0,6/6/97
Pillow Talk,0,Uni.,0,0,0,10/6/59
Pina,3524826,IFC,3,84,68012,12/23/11
Pineapple Express,87341380,Sony,3072,3072,23245025,8/6/08
Pinero,275171,Mira.,2,21,21750,12/13/01
Ping Pong,67421,Gold.,2,2,8497,7/17/87
Ping Pong Playa,77907,IFC,9,14,30797,9/5/08
Ping Pong Summer,52909,Grav.,17,17,25781,6/6/14
Pinjar,66290,NEM,19,22,16617,10/24/03
Pink Cadillac,12143484,WB,1993,1993,4408593,5/26/89
Pink Floyd: The Wall,22244207,MGM,653,673,2712095,8/13/82
The Pink Panther (1964),10878107,UA,0,0,0,4/11/64
The Pink Panther (2006),82226474,Sony,3477,3477,20220412,2/10/06
The Pink Panther 2,35922978,Sony,3243,3245,11588150,2/6/09
The Pink Panther Strikes Again,33833201,UA,0,0,0,12/15/76
"Pink Ribbons, Inc.",26608,FRun,3,4,2721,6/1/12
Pinocchio,3675719,Mira.,1195,1195,1151463,12/25/02
Pinocchio,38976570,Dis.,0,0,0,2/9/40
Pinocchio (Italian version),8586,Mira.,2,2,6092,2/7/03
Pinocchio (Re-issue) (1984),26414038,BV,1217,1309,3769251,12/21/84
Pinocchio (Re-issue) (1992),18863559,BV,1907,1936,3145140,6/26/92
Pinocchio and the Emperor of the Night,3261638,NW,0,0,0,12/25/87
The Pinochet Case,35701,FRun,1,1,10773,9/11/02
Pioneer,6871,Magn.,2,3,1857,12/5/14
Pipe Dream,15430,Castle,3,3,7998,10/4/02
Pippi Longstocking,505335,Leg.,73,73,62196,8/22/97
Piranha 2: The Spawning,0,0,0,0,0,11/5/82
Piranha 3D,25003155,W/Dim.,2470,2491,10106872,8/20/10
Piranha 3DD,376512,W/Dim.,86,86,182237,6/1/12
The Pirate,0,MGM,0,0,0,5/20/48
The Pirate Movie,7983086,Fox,757,757,2528133,8/6/82
Pirate Radio,8017917,Focus,882,883,2904380,11/13/09
The Pirates,415775,WGUSA,1,25,26025,9/5/14
Pirates (1986),1641825,Can.,1108,1108,1035447,7/18/86
The Pirates of Penzance,694497,Uni.,91,91,255496,2/18/83
Pirates of the Caribbean: At World's End,309420425,BV,4362,4362,114732820,5/25/07
Pirates of the Caribbean: Dead Man's Chest,423315812,BV,4133,4133,135634554,7/7/06
Pirates of the Caribbean: Dead Men Tell No Tales,172558876,BV,4276,4276,62983253,5/26/17
Pirates of the Caribbean: On Stranger Tides,241071802,BV,4155,4164,90151958,5/20/11
Pirates of the Caribbean: The Curse of the Black Pearl,305413918,BV,3269,3416,46630690,7/9/03
The Pirates Who Don't Do Anything,12981269,Uni.,1337,1340,4251320,1/11/08
The Pirates! Band of Misfits,31051126,Sony,3358,3358,11137734,4/27/12
The Pit (2016 re-release),560,KL,0,2,0,9/30/16
Pitbull. Niebezpieczne kobiety,0,0,0,0,0,TBD
Pitch Black,39240659,USA,1832,1930,11577688,2/18/00
Pitch Perfect,65001093,Uni.,335,2787,5149433,9/28/12
Pitch Perfect 2,184296230,Uni.,3473,3660,69216890,5/15/15
Pitch Perfect 3,104897530,Uni.,3447,3468,19928525,12/22/17
Pittsburgh,0,Uni.,0,0,0,12/11/42
Pixels,78747585,Sony,3723,3723,24011616,7/24/15
Pizza,5716,IFC,1,1,4059,1/20/06
A Place at the Table,231378,Magn.,35,35,92257,3/1/13
The Place Beyond the Pines,21403519,Focus,4,1584,279457,3/29/13
A Place Called Chiapas,252546,Zeit.,0,0,0,11/4/98
A Place in the Sun,0,Par.,0,0,0,8/15/51
A Place in the World,99707,First,1,3,9970,7/1/94
Place Vendome,895788,Emp.,12,15,56540,9/22/00
Places in the Heart,34901614,TriS,14,868,274279,9/21/84
Plagues and Pleasures on the Salton Sea,53471,Tila.,2,3,4424,2/24/06
Plain Clothes,289323,Par.,193,193,222681,4/15/88
Plan 9 From Outer Space,0,0,0,0,0,Jul-59
Planes,90288712,BV,3702,3716,22232291,8/9/13
"Planes, Trains and Automobiles",49530280,Par.,1118,1684,7009482,11/25/87
Planes: Fire & Rescue,59165787,BV,3826,3839,17509407,7/18/14
Planet 51,42194060,Sony,3035,3035,12286129,11/20/09
Planet B-Boy,273870,Elep.,2,14,27777,3/21/08
Planet of Snail,13957,CGld,1,2,2011,7/25/12
Planet of the Apes,32589624,Fox,0,0,0,2/8/68
Planet of the Apes (2001),180011740,Fox,3500,3530,68532960,7/27/01
Planetarium,3262,Swen,1,1,625,8/11/17
Plastic Planet,3164,FRun,1,2,740,1/14/11
Platoon,138530565,Orion,6,1564,241080,12/19/86
Platoon Leader,1348771,Can.,0,0,0,1988
Play Dirty,0,UA,0,0,0,2/19/69
Play It to the Bone,8434146,BV,1,1588,3366,12/25/99
Play Misty for Me,10600000,Uni.,0,0,0,11/12/71
Play the Game,659483,Slow,22,55,51197,2/27/09
Playback,264,Magn.,1,1,252,3/16/12
The Playboys,4906900,Gold.,2,68,32525,4/24/92
The Player,21706101,NL,23,452,302216,4/10/92
Players,4896094,Par.,0,0,0,6/8/79
The Players,10854,Wein.,50,50,6674,4/4/14
The Players Club,23047939,NL,593,624,5894607,4/10/98
Playing by Heart,3970078,Mira.,1,308,26669,1/1/99
Playing for Keeps,13102272,FD,2837,2840,5750288,12/7/12
Playing for Keeps (1986),2669366,Uni.,1148,1148,1406300,10/3/86
Playing God,4166918,BV,1479,1479,1937374,10/17/97
PLAYMOBIL,0,Global Road,0,0,0,8/16/19
The Playroom,5964,Free,12,12,3900,4/5/13
Pleasantville,40584421,NL,1636,1773,8855063,10/23/98
Please Give,4033574,SPC,5,272,118123,4/30/10
Please Stand By,9868,Magn.,5,7,4090,1/26/18
The Pleasure of Being Robbed,10687,IFC,7,7,7720,10/3/08
The Pleasures of Being Out of Step,13137,FRun,1,2,1846,5/16/14
The Pledge,19733089,WB,1275,1410,5765347,1/19/01
Pledge This!,0,Free,0,0,0,0
Plenty,6148000,Fox,24,228,436266,9/19/85
Plot for Peace,7051,0,2,2,2554,10/31/14
The Ploughman's Lunch,0,Gold.,0,0,0,10/19/84
A Plumm Summer,63521,Free,58,58,53752,4/25/08
Plump Fiction,71145,Leg.,45,45,37260,5/15/98
Plunkett and Macleane,474900,USA,475,475,244765,10/1/99
Plush,3080,IMG/B,10,10,2843,9/13/13
Pocahontas,141579773,BV,6,2757,2689714,6/16/95
Pocket Money,0,NGP,0,0,0,2/1/72
A Poem Is a Naked Person (2015 re-issue),96592,Jan.,1,5,5526,7/1/15
Poetic Justice,27515786,Col.,1273,1285,11728455,7/23/93
Poetry,356149,Kino,3,17,18900,2/11/11
Point Blank,708215,Magn.,6,37,41031,7/29/11
Point Break,43218387,Fox,1615,1625,8514616,7/12/91
Point Break (2015),28782481,WB,2910,2910,9800252,12/25/15
Point of No Return,30038362,WB,1545,1659,7160389,3/19/93
Poison,787280,Zeit.,0,0,0,4/5/91
Poison Friends,13665,Strand,1,2,2980,4/27/07
Poison Ivy,1829804,NL,20,20,119840,5/8/92
Poisoned by Polonium: The Litvinenko File,5080,Kino,1,1,2402,3/21/08
Pokemon 3: The Movie,17052128,WB,2675,2675,8240752,4/6/01
Pokemon 4Ever,1727447,Dim.,249,249,717061,10/11/02
Pokemon Heroes,746381,Mira.,196,200,260372,5/16/03
Pokemon the Movie: I Choose You!,2401722,Fathom,0,789,0,11/5/17
Pokemon: The First Movie,85744662,WB,3043,3043,31036678,11/10/99
Pokemon: The Movie 2000,43758684,WB,2752,2752,19575608,7/21/00
The Polar Express,162775358,WB,3650,3650,23323463,11/10/04
The Polar Express (2011 re-issue),711168,WB,19,25,55299,11/25/11
The Polar Express (2012 re-issue),669289,WB,15,17,73514,11/21/12
The Polar Express (2013 re-issue),493776,WB,0,0,0,11/9/13
The Polar Express (2014 re-issue),139055,WB,0,0,0,11/1/14
The Polar Express (2015 re-issue),846602,WB,0,0,0,11/19/15
The Polar Express (2016 re-issue),765154,WB,0,129,0,11/11/16
The Polar Express (2017 re-release),875150,WB,0,0,1321,11/17/17
The Polar Express (IMAX re-issue 2005),10900597,WB,66,66,1222220,11/23/05
The Polar Express (IMAX re-issue 2006),2940722,WB,19,37,108656,11/17/06
The Polar Express (IMAX re-issue 2007),2483757,WB,2,32,1968,10/5/07
The Polar Express (IMAX re-issue 2008),1705694,WB,12,26,42718,11/21/08
The Polar Express (IMAX re-issue 2009),514354,WB,1,21,2957,11/6/09
The Polar Express (IMAX re-issue 2010),672796,WB,15,17,80505,12/3/10
Polar Opposites,2377,Reg.,1,1,1628,6/6/08
Polaroid,0,W/Dim.,0,0,0,2018
Police Academy,81198894,WB,1063,1587,8570007,3/23/84
Police Academy 2: Their First Assignment,55600000,WB,1613,1613,10675896,3/29/85
Police Academy 3: Back in Training,43579163,WB,1788,1788,9049586,3/21/86
Police Academy 4: Citizens on Patrol,28061343,WB,1750,1750,8482487,4/3/87
Police Academy 5: Assignment: Miami Beach,19510371,WB,1700,1700,6106661,3/18/88
Police Academy 6: City Under Siege,11567217,WB,1627,1627,4032480,3/10/89
Police Academy 7: Mission to Moscow,126247,WB,0,0,0,8/26/94
Police Story: Lockdown,0,WGUSA,0,0,0,6/5/15
"Police, Adjective",53206,IFC,8,8,19452,12/23/09
Policeman,11263,Crnth,2,2,7379,6/13/14
Polina,165203,Osci.,2,31,12588,8/25/17
Polish Wedding,692588,FoxS,11,59,92055,7/17/98
Polisse,211440,IFC,3,21,16568,5/18/12
Pollock,8598593,SPC,2,280,44244,12/15/00
Poltergeist,76606280,MGM,890,1060,6896612,6/4/82
Poltergeist (2011),0,MGM,0,0,0,TBD
Poltergeist (2015),47425125,Fox,3240,3242,22620386,5/22/15
Poltergeist (re-issue),536108,MGM,593,593,536108,5/20/83
Poltergeist II: The Other Side,40996665,MGM,1596,1599,12357190,5/23/86
Poltergeist III,14114488,MGM,1471,1471,4344308,6/10/88
Polyester,0,NL,0,0,0,5/29/81
POM Wonderful Presents: The Greatest Movie Ever Sold,638476,SPC,18,141,118294,4/22/11
Pompeii,23219748,TriS,2658,2658,10340823,2/21/14
Ponette,1300377,Arro.,0,0,0,3/14/97
Pontiac Moon,11669,Par.,8,10,5128,11/4/94
Pontypool,3865,IFC,1,1,1541,5/29/09
Ponyo,15090399,BV,927,927,3585852,8/14/09
Pooh's Heffalump Movie,18098433,BV,2529,2529,5805559,2/11/05
The Pool,95102,Vita.,1,8,7736,9/3/08
Pool Boys,2269,Cdgm.,0,101,0,9/30/11
Poolhall Junkies,563711,GldC,179,179,301856,2/28/03
Poor Boy,29017,Indic.,4,5,10920,7/13/18
Pootie Tang,3313583,Par.,712,712,1506233,6/29/01
Pop Aye,77976,KL,1,5,3598,6/28/17
Popcorn,4205000,Stu3,1055,1055,2563365,2/1/91
Pope Francis - A Man of His Word,2008385,Focus,346,385,507870,5/18/18
The Pope Must Die(t),582510,Mira.,169,169,264147,8/30/91
The Pope of Greenwich Village,6836201,MGM,677,677,1544624,6/22/84
Popeye,49823037,Par.,901,901,6310520,12/12/80
Popeye (2015),0,Sony,0,0,0,TBD
Poppy,0,Par.,0,0,0,6/19/36
Popstar: Never Stop Never Stopping,9639125,Uni.,2311,2313,4698715,6/3/16
Populaire,179091,Wein.,3,58,15690,9/6/13
Porky's,105492483,Fox,1148,1605,7623988,3/19/82
Porky's (Re-issue),5797190,Fox,1192,1192,2139827,5/6/83
Porky's II: The Next Day,33759266,Fox,1511,1564,7054988,6/24/83
Porky's Revenge (Part III),20518905,Fox,1423,1423,6207507,3/22/85
Porn Star: The Legend of Ron Jeremy,421516,Mael.,2,7,23865,11/30/01
Porn Theatre,31653,Strand,1,2,3367,10/10/03
Port Djema,783,Shad.,1,1,783,1/1/99
Port of Shadows (2012 re-issue),27389,Rialto,1,2,6618,9/14/12
Porto,15126,KL,1,2,2090,11/17/17
Portrait of a Garden,7914,Ghop,1,1,4488,10/26/16
The Portrait of a Lady,3692836,Gram.,7,570,107819,12/27/96
Poseidon,60674817,WB,3555,3555,22155410,5/12/06
The Poseidon Adventure,84563118,Fox,25,25,264850,12/13/72
Posse,18289763,Gram.,949,949,5311902,5/14/93
The Possession,49130154,LGF,2816,2860,17732480,8/31/12
Possession (1983),1113538,Lime,0,0,0,10/28/83
Possession (2002),10113733,Focus,270,619,1575214,8/16/02
Possession (2009),0,YFG,0,0,0,TBD
The Possession of Janet Moses,0,VE,0,0,0,7/14/17
The Post,81903458,Fox,9,2851,526011,12/22/17
Post Grad,6380019,Fox,1959,1959,2651996,8/21/09
Post Mortem,9750,KL,1,1,2406,4/11/12
Post Tenebras Lux,39185,Strand,1,6,4674,5/1/13
Postal,0,0,13,13,0,5/23/08
Postcards from London,0,Strand,0,0,0,11/9/18
Postcards from the Edge,39071603,Col.,1013,1323,7871856,9/14/90
Poster Boys,97049,Sony,50,50,51264,9/8/17
Posterboy,62062,Reg.,2,4,3806,8/11/06
The Postman,17626234,WB,2207,2207,5260324,12/25/97
The Postman Always Rings Twice,12376625,Par.,0,0,0,3/20/81
Postman Pat: The Movie,1519,Shout!,2,2,1254,6/27/14
Postmen in the Mountains,203975,Shad.,1,7,2334,12/25/03
Potiche,1618844,MBox,7,74,86017,3/25/11
The Poughkeepsie Tapes,0,MGM,0,0,0,2009
Poultrygeist: Night of the Chicken Dead,13804,Troma,1,1,10624,5/9/08
Pound Puppies and the Legend of Big Paw,586938,TriS,0,0,0,3/18/88
Powaqqatsi,589244,Can.,1,22,27899,4/29/88
Powder,30862156,BV,1592,1621,7146973,10/27/95
Powder Blue,0,ReelD,0,0,0,5/8/09
Power,3800000,Fox,770,770,1854200,1/31/86
The Power,929162,FVI,256,256,929162,1/20/84
Power and Terror (2006 playdate),1703,FRun,1,1,681,8/4/06
Power and Terror: Noam Chomsky in Our Times,290767,FRun,1,4,9442,11/22/02
The Power of Few,25000,SP,2,5,7614,2/15/13
The Power of One,2827107,WB,143,143,684358,3/27/92
Power Rangers (2017),85364450,LGF,3693,3693,40300288,3/24/17
Power Trip,39359,AL,2,3,3423,12/10/03
The Powerpuff Girls Movie,11412414,WB,2340,2340,3583114,7/3/02
Powwow Highway,283747,WB,1,14,10627,2/24/89
Practical Magic,46683377,WB,2652,2652,13104694,10/16/98
A Prairie Home Companion,20342852,PicH,760,767,4566293,6/9/06
