title,cgross,studio,theaters2,theaters1,opening_gross,release_data
Alive and Kicking,68485,Magn.,11,11,12201,4/7/17
Alive Inside,256682,B360,1,20,7200,7/18/14
Aliyah,8253,FM,1,2,1627,6/14/13
All About Eve,0,Fox,0,0,0,10/13/50
All About Eve (re-issue),63463,FoxS,1,1,10177,10/6/00
All About Evil,7995,PC,1,1,5070,7/9/10
All About Lily Chou-Chou,26485,Cow.,1,2,3064,7/12/02
All About My Mother,8272296,SPC,4,145,50362,11/5/99
All About Nina,35131,Orch.,4,4,26468,9/28/18
All About Steve,33862903,Fox,2251,2265,11241214,9/4/09
All About the Benjamins,25916319,NL,1505,1519,10007291,3/8/02
All Access: Front Row. Backstage. Live! (IMAX),992683,Imax,33,35,69992,4/6/01
All Babes Want to Kill Me,11975,HCF,1,1,1831,2/16/05
All Dogs Go to Heaven,27100027,UA,1577,1591,4712834,11/17/89
All Dogs Go to Heaven 2,8620678,MGM,2037,2037,2256118,3/29/96
All Eyez on Me,44922302,LG/S,2471,2471,26435354,6/16/17
All Good Things,582024,Magn.,2,35,37172,12/3/10
All Hat,15198,All.,0,2,0,1/18/08
All I Desire,0,Uni.,0,0,0,Jul-53
All I See is You,217644,ORF,283,283,144076,10/27/17
All I Wanna Do,5838,Red.,1,1,3799,3/24/00
All I Want for Christmas,14812144,Par.,1507,1507,3645720,11/8/91
All is Bright,4556,Anch.,10,10,4556,10/4/13
All Is Lost,6263670,RAtt.,6,483,93583,10/18/13
All My Loved Ones,6237,N.Arts,1,1,3222,8/16/02
All Night Long,4454295,Uni.,362,0,1392852,3/6/81
All of Me,36403064,Uni.,1192,1200,5803848,9/21/84
All or Nothing,201546,UA,7,16,25890,10/25/02
All Over Me,292577,FL,0,0,0,4/25/97
All Over the Guy,1022324,Lions,7,35,41606,8/10/01
All Quiet on the Western Front,0,Uni.,0,0,0,4/21/30
All Roads Lead Home,43907,Wald.,46,46,31785,9/26/08
All Saints,5802208,Affirm,846,846,1514278,8/25/17
All That Heaven Allows,0,Uni.,0,0,0,Dec-55
All That Jazz,37823676,Fox,5,0,86229,12/20/79
All the Best,120713,Yash,55,55,96054,10/16/09
All the Boys Love Mandy Lane,0,RTWC,0,0,0,10/11/13
All the King's Men,7221458,Sony,1514,1520,3672366,9/22/06
All the Little Animals,26558,Lions,0,10,0,9/3/99
All the Marbles,6468195,MGM,0,0,0,10/16/81
All the Money in the World,25113707,TriS,2074,2123,5584684,12/25/17
All the President's Men,70600000,WB,0,0,0,4/7/76
All the Pretty Horses,15540353,Mira.,1483,1593,1304971,12/25/00
All the Queen's Horses,16172,Argo.,1,1,6573,11/10/17
All the Queen's Men,23662,Strand,17,17,15026,10/25/02
All The Rage: Saved by Sarno,18489,TFC,1,1,9765,6/23/17
All the Real Girls,549666,SPC,6,25,39417,2/14/03
All the Right Moves,17233166,Fox,442,909,1625486,10/21/83
All These Sleepless Nights,20762,Orch.,3,5,0,4/7/17
All Things Fair,13128,PFM,1,1,4530,3/8/96
All Things Must Pass,172394,Grav.,2,14,19001,10/16/15
All Together,43180,KL,10,10,12887,10/19/12
All You Need Is Love,0,Da.,0,0,0,10/31/14
All's Faire in Love,22180,Hann.,75,75,16440,10/28/11
"All's Well, End's Well (2012)",47919,CL,20,20,23250,1/27/12
Allah Made Me Funny,66903,0,14,14,38867,10/3/08
Allan Quatermain and the Lost City of Gold,3751699,Can.,1000,1000,1960352,1/30/87
Allegheny Uprising,0,RKO,0,0,0,11/10/39
Allegro,7404,ICir,1,1,505,5/9/07
Alleluia,6334,MBox,3,3,2712,7/17/15
Allied,40098064,Par.,3160,3160,12701743,11/23/16
The Allnighter,2700000,Uni.,977,977,1419581,5/1/87
Almost an Angel,6939946,Par.,1373,1373,1608365,12/22/90
Almost Christmas,42158780,Uni.,2376,2379,15134235,11/11/16
Almost Famous,32534850,DW,131,2262,2314646,9/15/00
Almost Friends,1481,Orion,0,12,0,11/17/17
Almost Heroes,6136856,WB,2048,2048,2837928,5/29/98
Almost Holy,21142,Orch.,5,10,4195,5/20/16
Almost Human,8447,IFC,2,5,2722,2/21/14
Almost in Love,2510,Argo.,1,1,1110,2/15/13
The Almost Man,0,BWP,0,0,0,8/1/14
Almost Peaceful,106184,Emp.,1,3,10020,8/20/04
An Almost Perfect Affair,85493,Par.,0,0,0,4/27/79
Almost Salinas,21419,Strt,4,4,7593,5/9/03
Almost Sunrise,0,Argo.,0,0,0,7/14/17
Almost You,95000,Fox,0,0,0,3/29/85
Aloft,53086,SPC,2,17,2116,5/22/15
Aloha,21067116,Sony,2815,2815,9670235,5/29/15
Aloha Summer,418379,Spec.,0,123,0,2/26/88
